directory,catalog_id,publication_id,author,title_english,title_latin,pl_volume,columns,generation,review_status,translation_model,website,youtube,archive,doi,mapping
Patrologia_Latina/vol_104/Agobard of Lyon - Book on the Images of Saints,pl104-001,pub-2595,Agobard of Lyon,Book on the Images of Saints,"Liber adversus Felicem Urgellensem.---Liber de Insolentia Judaeorum.---Sancti Agobardi, Bernardi et Eaof, episcoporum, epistola de Judaicis Superstitionibus.---Consultatio de baptismo Judaicorum mancipiorum.---Epistola De cavenda societate Judaica.---Liber adversus legem Gundobadi.---Liber de Privilegio et Jure sacerdotii.---Liber de Grandine et Tonitruis.---Liber adversus Fredegisum.---Epistola ad proceres palatii contra praeceptum impium de baptismo Judaicorum mancipiorum.---Epistola ad Bartholomaeum episcopum de quorumdam illusione signorum.---Epistola ad Matfredum procerem palatii, deploratoria de injustiis.---Epistola ad clericos et monachos Lugdunenses de modo regiminis ecclesiastici.---Liber de imaginibus sanctorum.---Liber de Dispensatione ecclesiasticarum rerum.---Liber de divinis Sententiis.---Sermo exhortatorius ad plebem.---Flebilis epistola de divisione imperii Francorum inter filios imperatoris.---Liber de Comparatione regiminis ecclesiastici et politici.---Liber apologeticus pro filiis Ludovici Pii imp. adversus patrem.---Chartula ad Lotharium Aug.---Epistola ad Ebbonem episcopum Rhemensem, de spe et timore.---Liber de divina Psalmodia.---Liber de Correctione Antiphonarii.---Liber adversus Amalarium.---Carmina.",104,29-351,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_105/Theodulf of Orleans - Concerning the Holy Spirit,pl105-002,pub-2812,Theodulf of Orleans,Concerning the Holy Spirit,"THEODULFUS, Aurelianensis episcopus.",105,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=kMsnXfXyl10,,,registry
Patrologia_Latina/vol_105/Theodulf of Orleans - Sermon Fragments,pl105-002,pub-2813,Theodulf of Orleans,Sermon Fragments,Fragmenta Sermonum Aliquot,105,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=JK4C3WbBCRQ,https://archive.org/details/sermon-fragments,,registry
Patrologia_Latina/vol_105/Theodulf of Orleans - The Book on the Order of Baptism to Magnus of Sens,pl105-002,pub-2814,Theodulf of Orleans,The Book on the Order of Baptism to Magnus of Sens,"THEODULFUS, Aurelianensis episcopus.",105,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_105/Theodulf of Orleans - Theodulf Bishop of Orleans,pl105-002,pub-2815,Theodulf of Orleans,Theodulf Bishop of Orleans,"THEODULFUS, Aurelianensis episcopus.",105,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_106/Jonas of Orleans - De cultu imaginum Book 1,pl106-005,pub-2688,Jonas of Orleans,De cultu imaginum Book 1,"JONAS, Aurelianensis episcopus.",106,,legacy-unknown,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/11/de-cultu-imaginum/,,,,registry
Patrologia_Latina/vol_106/Jonas of Orleans - De cultu imaginum Book 2,pl106-005,pub-2689,Jonas of Orleans,De cultu imaginum Book 2,De cultu imaginum liber primus,106,,legacy-unknown,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/11/de-cultu-imaginum/,https://www.youtube.com/watch?v=NcGaqandP_k,https://archive.org/details/jonas-orleans-de-cultu-imaginum-book-1,10.5281/zenodo.17982641,registry
Patrologia_Latina/vol_106/Jonas of Orleans - De cultu imaginum Book 3,pl106-005,pub-2690,Jonas of Orleans,De cultu imaginum Book 3,"JONAS, Aurelianensis episcopus.",106,,legacy-unknown,defect-recorded,,https://bibliothecarius-modernus.github.io/2025/11/de-cultu-imaginum/,,,,registry
Patrologia_Latina/vol_11/Optatus - History of the Donatists,pl011-010,pub-2722,Optatus,History of the Donatists,Historia Donatistarum,11,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=qG7IuSb8oAA,https://archive.org/details/history-of-the-donatists,,registry
Patrologia_Latina/vol_112/Rabanus Maurus - On the Life of Mary Magdalene and her sister Martha,pl112-022,pub-2760,Rabanus Maurus,On the Life of Mary Magdalene and her sister Martha,De Vita B. Mariae Magdalenae et sororis ejus S. Marthae.,112,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=YxOReUNu5Gk,,,registry
Patrologia_Latina/vol_114/Walahfrid Strabo - On the destruction of Jerusalem,pl114-008,pub-2822,Walahfrid Strabo,On the destruction of Jerusalem,De subversione Jerusalem,114,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=YC8MbDmG1wA,https://archive.org/details/on-the-destruction-of-jerusalem,,registry
Patrologia_Latina/vol_115/Walahfrid Strabo - On the individual festivals of the year,pl115-014,pub-2823,Walahfrid Strabo,On the individual festivals of the year,De singulis festivitatibus anni,115,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=wWV3QiasXE4,https://archive.org/details/on-the-individual-festivals-of-the-year,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Amos,pl117-001,pub-2651,Haymo of Halberstadt,On the Prophet Amos,In Amos Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=GlvFHFZfJGA,https://archive.org/details/on-the-prophet-amos,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Habakkuk,pl117-001,pub-2652,Haymo of Halberstadt,On the Prophet Habakkuk,In Habacuc Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=qpN-QRVak5A,https://archive.org/details/on-the-prophet-habakkuk,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Haggai,pl117-001,pub-2653,Haymo of Halberstadt,On the Prophet Haggai,In Aggaeum Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=kMO5S4qpZzY,https://archive.org/details/on-the-prophet-haggai,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Hosea,pl117-001,pub-2654,Haymo of Halberstadt,On the Prophet Hosea,In Osee Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=xI27SL8FTB4,https://archive.org/details/on_the_prophet_hosea_haymo_bishop_of_halberstadt,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Joel,pl117-001,pub-2655,Haymo of Halberstadt,On the Prophet Joel,In Joel Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=bepMzMGCe1E,https://archive.org/details/on-the-prophet-joel,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Jonah,pl117-001,pub-2656,Haymo of Halberstadt,On the Prophet Jonah,In Jonam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=6pQ_ASHIBJU,https://archive.org/details/on-the-prophet-jonah,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Malachi,pl117-001,pub-2657,Haymo of Halberstadt,On the Prophet Malachi,In Malachiam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=vC-5aVikkAE,https://archive.org/details/on-the-prophet-malachi,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Micah,pl117-001,pub-2658,Haymo of Halberstadt,On the Prophet Micah,In Michaeam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=Usy_iv6wMJc,https://archive.org/details/on-the-prophet-micah,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Nahum,pl117-001,pub-2659,Haymo of Halberstadt,On the Prophet Nahum,In Nahum Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=bLEijQYKAYA,https://archive.org/details/on-the-prophet-nahum,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Obadiah,pl117-001,pub-2660,Haymo of Halberstadt,On the Prophet Obadiah,In Abdiam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=MshurAf-vDk,https://archive.org/details/on-the-prophet-obadiah,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Zechariah,pl117-001,pub-2661,Haymo of Halberstadt,On the Prophet Zechariah,In Zachariam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=bXTVjUTaYzs,https://archive.org/details/on-the-prophet-zechariah,,registry
Patrologia_Latina/vol_117/Haymo of Halberstadt - On the Prophet Zephaniah,pl117-001,pub-2662,Haymo of Halberstadt,On the Prophet Zephaniah,In Sophoniam Prophetam,117,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=kXHxaYcg1Sk,https://archive.org/details/on-the-prophet-zephaniah,,registry
Patrologia_Latina/vol_118/Haymo of Halberstadt - On the Body and Blood of the Lord,pl118-006,pub-2663,Haymo of Halberstadt,On the Body and Blood of the Lord,De corpore et sanguine Domini,118,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=V5u72zlPLns,https://archive.org/details/on-the-body-and-blood-of-the-lord,,registry
Patrologia_Latina/vol_119/Florus Deacon of Lyon - Sermon on predestination,pl119-005,pub-2637,Florus Deacon of Lyon,Sermon on predestination,Sermo de praedestinatione,119,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=M_1KLmTR4kQ,https://archive.org/details/sermon-on-predestination,,registry
Patrologia_Latina/vol_119/Florus of Lyon - Book against John Scotus,pl119-006,pub-2638,Florus of Lyon,Book against John Scotus,Liber adversus Joannem Scotum,119,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/liber-adversus-joannem-scotum/,https://www.youtube.com/watch?v=OpAmSWjh77k,https://archive.org/details/book-against-john-scotus,10.5281/zenodo.17982601,registry
Patrologia_Latina/vol_120/Jean Mabillon - Historical Eulogy of Saint Paschasius Radbertus,,,,,,,,,,,,,,,unmapped
Patrologia_Latina/vol_120/S. Paschatius Radbertus - On the Birth of the Virgin,pl120-006,pub-2787,S. Paschatius Radbertus,On the Birth of the Virgin,De Partu Virginis,120,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/de-partu-virginis/,https://www.youtube.com/watch?v=JCI4hA5gwEg,https://archive.org/details/on-the-birth-of-the-virgin,10.5281/zenodo.17982581,registry
"Patrologia_Latina/vol_121/Adventius, Bishop of Metz - Little Book on Waldrada",pl121-039,pub-2593,"Adventius, Bishop of Metz",Little Book on Waldrada,Libellus de Waldrada,121,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/libellus-de-waldrada/,https://www.youtube.com/watch?v=XSkZR5X8h8I,https://archive.org/details/little-book-on-waldrada,10.5281/zenodo.17982597,registry
Patrologia_Latina/vol_121/Boileau - Dissertation on the Book Concerning the Body and Blood of the Lord,pl121-004,pub-2616,Boileau,Dissertation on the Book Concerning the Body and Blood of the Lord,Dissertatio in librum de Corpore et Sanguine Domini,121,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=o1HLJgjEvmM,https://archive.org/details/dissertation-on-the-book-concerning-the-body-and-blood-of-the-lord,,registry
Patrologia_Latina/vol_121/Gottschalk of Orbais - Confession and Extended Confession,pl121-008,pub-2648,Gottschalk of Orbais,Confession and Extended Confession,Confessio et Confessio prolixior,121,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/confessio-et-confessio-prolixior/,https://www.youtube.com/watch?v=kuOpVJZ6dG4,https://archive.org/details/confession-and-extended-confession,10.5281/zenodo.17982569,registry
Patrologia_Latina/vol_121/Gottschalk of Orbais - Letter of Gottschalk to Ratramnus,pl121-009,pub-2649,Gottschalk of Orbais,Letter of Gottschalk to Ratramnus,Epistola Gotteschalci ad Ratramnum,121,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=TU3Kzglb2Uw,https://archive.org/details/letter-of-gottschalk-to-ratramnus,,registry
"Patrologia_Latina/vol_121/Gunthar, Bishop of Cologne - Diabolical Chapters of Gunthar Against Pope Nicholas",pl121-011,pub-2650,"Gunthar, Bishop of Cologne",Diabolical Chapters of Gunthar Against Pope Nicholas,Guntharii diabolica capitula in Nicolaum papam,121,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=2ZhCNzgDXTs,https://archive.org/details/diabolical-chapters-of-gunthar-against-pope-nicholas,,registry
Patrologia_Latina/vol_121/Haymo of Halberstadt - On the Body and Blood of the Lord,pl118-006,pub-2664,Haymo of Halberstadt,On the Body and Blood of the Lord,De corpore et sanguine Domini.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_121/Ratramnus - Against the Objections of the Greeks Book Four,pl121-005,pub-2766,Ratramnus,Against the Objections of the Greeks Book Four,Contra Graecorum opposita libri quatuor.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_121/Ratramnus - Against the Objections of the Greeks Book One,pl121-005,pub-2767,Ratramnus,Against the Objections of the Greeks Book One,Contra Graecorum opposita libri quatuor.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_121/Ratramnus - Against the Objections of the Greeks Book Three,pl121-005,pub-2768,Ratramnus,Against the Objections of the Greeks Book Three,Contra Graecorum opposita libri quatuor.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_121/Ratramnus - Against the Objections of the Greeks Book Two,pl121-005,pub-2769,Ratramnus,Against the Objections of the Greeks Book Two,Contra Graecorum opposita libri quatuor.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_121/Ratramnus - Letter on the Cynocephali,pl121-006,pub-2770,Ratramnus,Letter on the Cynocephali,Epistola de cynocephalis,121,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/epistola-de-cynocephalis/,https://www.youtube.com/watch?v=PNH4_eu-F5c,https://archive.org/details/letter-on-the-cynocephali,10.5281/zenodo.17982565,registry
Patrologia_Latina/vol_121/Ratramnus - On the Fact that Christ Was Born of a Virgin,pl121-002,pub-2771,Ratramnus,On the Fact that Christ Was Born of a Virgin,De eo quod Christus ex Virgine natus est,121,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=KBlDJTkA84g,https://archive.org/details/on-the-fact-that-christ-was-born-of-a-virgin,,registry
Patrologia_Latina/vol_121/Wandalbert of Prum - On the Life of St Goar,pl121-023,pub-2824,Wandalbert of Prum,On the Life of St Goar,---De Vita S. Goaris.,121,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_122/John Scotus - Homily on the Prologue of the Gospel According to John,pl122-004,pub-2686,John Scotus,Homily on the Prologue of the Gospel According to John,Homilia in prologum S. Evangelii secundum Joannem,122,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=YJS_28VjDKY,https://archive.org/details/homily-on-the-prologue-of-the-gospel-according-to-john,,registry
Patrologia_Latina/vol_122/John Scotus - Letters of Saint Dionysius,pl122-014,pub-2687,John Scotus,Letters of Saint Dionysius,S. Dionysii epistolae.,122,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_123/Ado of Vienne - Historical Eulogy,pl123-001,pub-2592,Ado of Vienne,Historical Eulogy,Sancti Adonis Elogium historicum,123,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=BLZPxk3T9qQ,https://archive.org/details/historical-eulogy,,registry
Patrologia_Latina/vol_124/Charles the Bald - Letters of Charles the Bald,pl124-009,pub-2623,Charles the Bald,Letters of Charles the Bald,Epistolae,124,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/12/epistolae-tres-bulgaranus-comes/,https://www.youtube.com/watch?v=OExgQgH53ZM,https://archive.org/details/letters-of-charles-the-bald,,registry
Patrologia_Latina/vol_124/Odo I of Beauvais - Sermon on St. Lucian,pl124-017,pub-2720,Odo I of Beauvais,Sermon on St. Lucian,Sermo in S. Lucianum,124,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=McEoqSTfvpI,https://archive.org/details/sermon-on-st.-lucian,,registry
Patrologia_Latina/vol_125/Hincmar of Reims - Explanation on the Vessel of Solomon,pl125-007,pub-2677,Hincmar of Reims,Explanation on the Vessel of Solomon,Explanatio in Ferculum Salomonis,125,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/04/explanatio-in-ferculum-salomonis/,https://www.youtube.com/watch?v=3KBp38ROsXU,https://archive.org/details/explanation-on-the-vessel-of-solomon,10.5281/zenodo.17982609,registry
Patrologia_Latina/vol_126/Bertharius of Monte Cassino - How to Observe Fasting Throughout the Year,pl126-010,pub-2615,Bertharius of Monte Cassino,How to Observe Fasting Throughout the Year,Quomodo per annum jejunandum sit.,126,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_13/Lucifer of Cagliari - Book on Apostate Kings,pl013-018,pub-2700,Lucifer of Cagliari,Book on Apostate Kings,Liber de Regibus apostaticis,13,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=7YiB5_5NkLY,https://archive.org/details/book-on-apostate-kings,,registry
Patrologia_Latina/vol_13/Lucifer of Cagliari - Book on Not Sparing Those Who Sin Against God,pl013-020,pub-2701,Lucifer of Cagliari,Book on Not Sparing Those Who Sin Against God,Liber de Non parcendo in Deum delinquentes,13,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=piyodI41Hdw,https://archive.org/details/book-on-not-sparing-those-who-sin-against-god,,registry
Patrologia_Latina/vol_13/Pacian of Barcelona - Exhortatory Little Book to Repentance,pl013-023,pub-2725,Pacian of Barcelona,Exhortatory Little Book to Repentance,Exhortatorius libellus ad poenitentiam,13,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=ywbthlsoNyg,https://archive.org/details/exhortatory-little-book-to-repentance,,registry
Patrologia_Latina/vol_13/Pacian of Barcelona - Sermon on Baptism,pl013-024,pub-2726,Pacian of Barcelona,Sermon on Baptism,Sermo de Baptismate,13,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=5LrV5z3lgY8,https://archive.org/details/sermon-on-baptism,,registry
Patrologia_Latina/vol_13/Pacian of Barcelona - Three Letters to Sympronianus,pl013-022,pub-2727,Pacian of Barcelona,Three Letters to Sympronianus,Epistolae tres ad Symproniamum,13,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/12/epistolae-tres-bulgaranus-comes/,https://www.youtube.com/watch?v=UOPWojTv9tY,https://archive.org/details/three-letters-to-sympronianus,,registry
Patrologia_Latina/vol_13/Q. Julius Hilarianus - Little Book on the Duration of the World,pl013-025,pub-2758,Q. Julius Hilarianus,Little Book on the Duration of the World,Libellus de mundi Duratione,13,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/libellus-de-mundi-duratione/,https://www.youtube.com/watch?v=4Ccek3JHA-g,https://archive.org/details/little-book-on-the-duration-of-the-world,,registry
Patrologia_Latina/vol_13/Vigilius of Trent - Two Letters of Saint Vigilius,pl013-014,pub-2821,Vigilius of Trent,Two Letters of Saint Vigilius,Epistolae duae,13,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/epistolae-duae-mappinius/,https://www.youtube.com/watch?v=E_9Xmax-9gE,https://archive.org/details/two-letters-of-saint-vigilius,,registry
Patrologia_Latina/vol_131/Anastasius III - Two Privileges,pl131-026,pub-2600,Anastasius III,Two Privileges,Privilegia duo,131,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=cBSdOF1dLmA,https://archive.org/details/two-privileges,,registry
Patrologia_Latina/vol_131/Notker Labeo - Books on the Interpreters of Sacred Scriptures,pl131-019,pub-2715,Notker Labeo,Books on the Interpreters of Sacred Scriptures,Libri de interpretibus divinarum Scripturarum,131,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=MaSojacIWmQ,https://archive.org/details/books-on-the-interpreters-of-sacred-scriptures,,registry
Patrologia_Latina/vol_131/Notker Labeo - Martyrology of Notker Labeo,pl131-021,pub-2716,Notker Labeo,Martyrology of Notker Labeo,Martyrologium.,131,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_132/Anonymous - The Life of Saint Radbod,pl132-006,pub-2606,Anonymous,The Life of Saint Radbod,VITA SANCTI RADBODI AUCTORE ANONYMO SUBAEQUALI,132,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=0VUdepvSdak,https://archive.org/details/the-life-of-saint-radbod,,registry
Patrologia_Latina/vol_132/Hervaeus of Rheims - Letter to Witon the Archbishop of Rouen,pl132-018,pub-2665,Hervaeus of Rheims,Letter to Witon the Archbishop of Rouen,Epistola ad Witonem archiepiscopum Rothomagens,132,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=T-5yRj9_qBE,https://archive.org/details/letter-to-witon-the-archbishop-of-rouen,,registry
Patrologia_Latina/vol_132/Hervaeus of Rheims - The Rheims Council Presided by Hervaeus,pl132-019,pub-2666,Hervaeus of Rheims,The Rheims Council Presided by Hervaeus,Concilium Rhemense praeside Hervaeo,132,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/concilium-rhemense-seulfus/,https://www.youtube.com/watch?v=T2t1Fkm_Ct4,https://archive.org/details/the-rheims-council-presided-by-hervaeus,,registry
Patrologia_Latina/vol_132/Odilo of St. Medard - Three Sermons of Odilo of St. Medard,pl132-016,pub-2719,Odilo of St. Medard,Three Sermons of Odilo of St. Medard,Sermones tres,132,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/12/sermones-tres-in-nativitate-domini-hildebert-of-lavardin/,https://www.youtube.com/watch?v=tW9YWih9Dik,https://archive.org/details/three-sermons-of-odilo-of-st.-medard,,registry
Patrologia_Latina/vol_132/Radbod of Dol - Letter to King Adelstam,pl132-021,pub-2761,Radbod of Dol,Letter to King Adelstam,Epistola ad Adelstanum regem,132,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_132/Radbod of Utrecht - Brief Chronicles of Radbod,pl132-007,pub-2762,Radbod of Utrecht,Brief Chronicles of Radbod,Radbodi breve Chronicum,132,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=xsNnLuQCCdA,https://archive.org/details/brief-chronicles-of-radbod,,registry
Patrologia_Latina/vol_132/Radbod of Utrecht - Homily of Saint Radbod on Saint Lebwin,pl132-010,pub-2763,Radbod of Utrecht,Homily of Saint Radbod on Saint Lebwin,Homilia de S. Lebwino,132,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=tsIWPnENPls,,,registry
Patrologia_Latina/vol_132/Radbod of Utrecht - Sermon on St. Swibert,pl132-008,pub-2764,Radbod of Utrecht,Sermon on St. Swibert,Sermo de S. Switberto,132,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_132/Seulf of Rheims - Reims Council Presided by Seulf,pl132-049,pub-2803,Seulf of Rheims,Reims Council Presided by Seulf,Concilium Rhemense praeside Seulfo,132,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/concilium-rhemense-seulfus/,https://www.youtube.com/watch?v=2Ks-JSf8dMU,https://archive.org/details/reims-council-presided-by-seulf,10.5281/zenodo.17982567,registry
Patrologia_Latina/vol_133/Arthaldus of Reims - Letter to the Synod Convened at Ingelheim,pl133-019,pub-2610,Arthaldus of Reims,Letter to the Synod Convened at Ingelheim,Epistola ad synodum apud Ingelheim congregatam,133,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=YpMlPeSJak8,https://archive.org/details/letter-to-the-synod-convened-at-ingelheim,,registry
Patrologia_Latina/vol_133/Jean Mabillon - Historical Eulogy by Mabillon,pl133-001,pub-2683,Jean Mabillon,Historical Eulogy by Mabillon,Elogium historicum auctore Mabillonio.,133,,legacy-unknown,unreviewed,,,,,,registry
